id,name,Pitch Ration (P/D),Expanded Area Ratio (EAR),Propeller Blade Number (Z),Rn,D,KT0,KT1,KT2,KQ0,KQ1,KQ2
157,P_8955,0.908,0.54,4,45750711.07,9.2,0.391398624,-0.268982441,-0.125000803,0.049735988,-0.024566231,-0.021984611
158,P_8956,0.908,0.54,4,45750711.07,9.4,0.391398624,-0.268982441,-0.125000803,0.049735988,-0.024566231,-0.021984611
159,P_8957,0.908,0.54,4,45750711.07,9.6,0.391398624,-0.268982441,-0.125000803,0.049735988,-0.024566231,-0.021984611
160,P_8958,0.908,0.54,4,45750711.07,9.8,0.391398624,-0.268982441,-0.125000803,0.049735988,-0.024566231,-0.021984611
161,P_8959,0.908,0.54,4,45750711.07,10,0.391398624,-0.268982441,-0.125000803,0.049735988,-0.024566231,-0.021984611
162,P_8960,0.908,0.548,4,45750711.07,8.8,0.392805647,-0.272024975,-0.124040413,0.050032383,-0.025216844,-0.021747471
163,P_8961,0.908,0.548,4,45750711.07,9,0.392805647,-0.272024975,-0.124040413,0.050032383,-0.025216844,-0.021747471
164,P_8962,0.908,0.548,4,45750711.07,9.2,0.392805647,-0.272024975,-0.124040413,0.050032383,-0.025216844,-0.021747471
165,P_8963,0.908,0.548,4,45750711.07,9.4,0.392805647,-0.272024975,-0.124040413,0.050032383,-0.025216844,-0.021747471
166,P_8964,0.908,0.548,4,45750711.07,9.6,0.392805647,-0.272024975,-0.124040413,0.050032383,-0.025216844,-0.021747471
167,P_8965,0.908,0.548,4,45750711.07,9.8,0.392805647,-0.272024975,-0.124040413,0.050032383,-0.025216844,-0.021747471
168,P_8966,0.908,0.548,4,45750711.07,10,0.392805647,-0.272024975,-0.124040413,0.050032383,-0.025216844,-0.021747471
169,P_8967,0.908,0.556,4,45750711.07,8.8,0.394201839,-0.275053028,-0.123079657,0.050325426,-0.025862767,-0.021508475
170,P_8968,0.908,0.556,4,45750711.07,9,0.394201839,-0.275053028,-0.123079657,0.050325426,-0.025862767,-0.021508475
171,P_8969,0.908,0.556,4,45750711.07,9.2,0.394201839,-0.275053028,-0.123079657,0.050325426,-0.025862767,-0.021508475
172,P_8970,0.908,0.556,4,45750711.07,9.4,0.394201839,-0.275053028,-0.123079657,0.050325426,-0.025862767,-0.021508475
173,P_8971,0.908,0.556,4,45750711.07,9.6,0.394201839,-0.275053028,-0.123079657,0.050325426,-0.025862767,-0.021508475
174,P_8972,0.908,0.556,4,45750711.07,9.8,0.394201839,-0.275053028,-0.123079657,0.050325426,-0.025862767,-0.021508475
175,P_8973,0.908,0.556,4,45750711.07,10,0.394201839,-0.275053028,-0.123079657,0.050325426,-0.025862767,-0.021508475
176,P_8974,0.908,0.564,4,45750711.07,8.8,0.395587198,-0.278066598,-0.122118533,0.050615119,-0.026504,-0.021267623
177,P_8975,0.908,0.564,4,45750711.07,9,0.395587198,-0.278066598,-0.122118533,0.050615119,-0.026504,-0.021267623
178,P_8976,0.908,0.564,4,45750711.07,9.2,0.395587198,-0.278066598,-0.122118533,0.050615119,-0.026504,-0.021267623
179,P_8977,0.908,0.564,4,45750711.07,9.4,0.395587198,-0.278066598,-0.122118533,0.050615119,-0.026504,-0.021267623
180,P_8978,0.908,0.564,4,45750711.07,9.6,0.395587198,-0.278066598,-0.122118533,0.050615119,-0.026504,-0.021267623
181,P_8979,0.908,0.564,4,45750711.07,9.8,0.395587198,-0.278066598,-0.122118533,0.050615119,-0.026504,-0.021267623
182,P_8980,0.908,0.564,4,45750711.07,10,0.395587198,-0.278066598,-0.122118533,0.050615119,-0.026504,-0.021267623
183,P_8981,0.908,0.572,4,45750711.07,8.8,0.396961726,-0.281065685,-0.121157043,0.050901461,-0.027140544,-0.021024915
184,P_8982,0.908,0.572,4,45750711.07,9,0.396961726,-0.281065685,-0.121157043,0.050901461,-0.027140544,-0.021024915
185,P_8983,0.908,0.572,4,45750711.07,9.2,0.396961726,-0.281065685,-0.121157043,0.050901461,-0.027140544,-0.021024915
186,P_8984,0.908,0.572,4,45750711.07,9.4,0.396961726,-0.281065685,-0.121157043,0.050901461,-0.027140544,-0.021024915
187,P_8985,0.908,0.572,4,45750711.07,9.6,0.396961726,-0.281065685,-0.121157043,0.050901461,-0.027140544,-0.021024915
188,P_8986,0.908,0.572,4,45750711.07,9.8,0.396961726,-0.281065685,-0.121157043,0.050901461,-0.027140544,-0.021024915
189,P_8987,0.908,0.572,4,45750711.07,10,0.396961726,-0.281065685,-0.121157043,0.050901461,-0.027140544,-0.021024915
190,P_8988,0.908,0.58,4,45750711.07,8.8,0.398325421,-0.28405029,-0.120195185,0.051184451,-0.027772399,-0.020780352
191,P_8989,0.908,0.58,4,45750711.07,9,0.398325421,-0.28405029,-0.120195185,0.051184451,-0.027772399,-0.020780352
192,P_8990,0.908,0.58,4,45750711.07,9.2,0.398325421,-0.28405029,-0.120195185,0.051184451,-0.027772399,-0.020780352
193,P_8991,0.908,0.58,4,45750711.07,9.4,0.398325421,-0.28405029,-0.120195185,0.051184451,-0.027772399,-0.020780352
194,P_8992,0.908,0.58,4,45750711.07,9.6,0.398325421,-0.28405029,-0.120195185,0.051184451,-0.027772399,-0.020780352
195,P_8993,0.908,0.58,4,45750711.07,9.8,0.398325421,-0.28405029,-0.120195185,0.051184451,-0.027772399,-0.020780352
196,P_8994,0.908,0.58,4,45750711.07,10,0.398325421,-0.28405029,-0.120195185,0.051184451,-0.027772399,-0.020780352
197,P_8995,0.908,0.588,4,45750711.07,8.8,0.399678284,-0.287020413,-0.119232961,0.05146409,-0.028399563,-0.020533933
198,P_8996,0.908,0.588,4,45750711.07,9,0.399678284,-0.287020413,-0.119232961,0.05146409,-0.028399563,-0.020533933
199,P_8997,0.908,0.588,4,45750711.07,9.2,0.399678284,-0.287020413,-0.119232961,0.05146409,-0.028399563,-0.020533933
200,P_8998,0.908,0.588,4,45750711.07,9.4,0.399678284,-0.287020413,-0.119232961,0.05146409,-0.028399563,-0.020533933
201,P_8999,0.908,0.588,4,45750711.07,9.6,0.399678284,-0.287020413,-0.119232961,0.05146409,-0.028399563,-0.020533933
202,P_9000,0.908,0.588,4,45750711.07,9.8,0.399678284,-0.287020413,-0.119232961,0.05146409,-0.028399563,-0.020533933
203,P_9001,0.908,0.588,4,45750711.07,10,0.399678284,-0.287020413,-0.119232961,0.05146409,-0.028399563,-0.020533933
204,P_9002,0.908,0.596,4,45750711.07,8.8,0.401020315,-0.289976053,-0.11827037,0.051740379,-0.029022039,-0.020285658
205,P_9003,0.908,0.596,4,45750711.07,9,0.401020315,-0.289976053,-0.11827037,0.051740379,-0.029022039,-0.020285658
206,P_9004,0.908,0.596,4,45750711.07,9.2,0.401020315,-0.289976053,-0.11827037,0.051740379,-0.029022039,-0.020285658
